rank,front,en,fr,ur,definition_en,example_ar,example_en,front_in_example,english_gloss_example_support,flags,status
220,فِي المَقَامِ الثَّانِي عَشَرَ,in the twelfth place / twelfthly,en douzième lieu / douzièmement,بارہویں نمبر پر,Phrase used to introduce the twelfth item in an ordered list of points or reasons.,وَفِي المَقَامِ الثَّانِي عَشَرَ، المَوَادُّ.,"And twelfthly, the materials.",True,True,,verified
221,بِمَا لَا يَدَعُ مَجَالاً لِلشَّكْوَى,perfect / leaving no room for complaint,irréprochable / sans aucune raison de se plaindre,جس میں شکایت کی کوئی گنجائش نہ ہو,"Phrase used to describe a service, product, or action that is of such high quality that no one can find a fault.",كَانَتِ الخِدْمَةُ بِمَا لَا يَدَعُ مَجَالاً لِلشَّكْوَى.,The service was perfect (leaving no room for complaint).,True,True,,verified
222,مِنْ قُبَيْلِ,such as / like / in the nature of,tel que / de la nature de,کی طرح / کی قسم کا,Phrase used to categorize an action or statement under a specific type or class.,هَذَا العَمَلُ مِنْ قُبَيْلِ المُزَاحِ.,This act is in the nature of a joke.,True,True,,verified
223,مِنَ الصَّعْبِ تَبْرِيرُهُ,hard to justify / inexcusable,difficile à justifier / injustifiable,جس کا جواز پیش کرنا مشکل ہو,"Phrase used to describe an action, decision, or mistake that lacks a logical or ethical reason.",هَذَا العُنْفُ مِنَ الصَّعْبِ تَبْرِيرُهُ.,This violence is hard to justify.,True,True,,verified
224,فِي هَذَا الظَّرْفِ الاسْتِثْنَائِيِّ,in this exceptional circumstance / in this unique situation,dans cette circonstance exceptionnelle,اس غیر معمولی صورتحال میں,"Phrase used to describe a situation that is rare, unique, and requires special rules or handling.",نَعْمَلُ بِجِدٍّ فِي هَذَا الظَّرْفِ الاسْتِثْنَائِيِّ.,We work hard in this exceptional circumstance.,True,True,,verified
225,بِدُونِ تَفَاصِيلَ,without details / briefly,sans détails / brièvement,تفصیلات کے بغیر / مختصر طور پر,Phrase used when a summary is given without going into the specific points or data.,أَخْبِرْنِي بِالقِصَّةِ بِدُونِ تَفَاصِيلَ.,Tell me the story without details.,True,True,,verified
226,فِي المَدَى المَنْظُورِ المُتَوَقَّعِ,in the expected foreseeable future,dans un avenir prévisible et attendu,متوقع قابلِ پیش گوئی مستقبل میں,Phrase referring to the time period that is both predictable and specifically anticipated by stakeholders.,سَنَرَى النَّجَاحَ فِي المَدَى المَنْظُورِ المُتَوَقَّعِ.,We will see success in the expected foreseeable future.,True,True,,verified
227,بِغَضِّ النَّظَرِ عَنِ المَاضِي,regardless of the past,quel que soit le passé / sans tenir compte du passé,ماضی سے قطع نظر,Phrase asserting that a current decision or relationship should not be influenced by previous events or mistakes.,سَنَبْدَأُ مِنْ جَدِيدٍ بِغَضِّ النَّظَرِ عَنِ المَاضِي.,We will start anew regardless of the past.,True,True,,verified
228,بِمَحْضِ تَقْدِيرِكَ الشَّخْصِيِّ,at your own personal discretion,à votre seule discrétion personnelle,آپ کی اپنی ذاتی صوابدید پر,Phrase emphasizing that the decision rests entirely with the individual's own judgment and feelings.,الأَمْرُ يَعُودُ بِمَحْضِ تَقْدِيرِكَ الشَّخْصِيِّ.,The matter is at your own personal discretion.,True,True,,verified
229,فِي حَالِ طُلِبَ مِنْكَ ذَلِكَ,if you are asked to do so,si on vous le demande,اگر آپ سے ایسا کرنے کو کہا جائے,Conditional phrase providing instructions for an action that depends on a future request or command.,اِفْعَلْهُ فَقَطْ فِي حَالِ طُلِبَ مِنْكَ ذَلِكَ.,Do it only if you are asked to do so.,True,True,,verified
230,عَلَى مَدَى أَسَابِيعَ قَلِيلَةٍ,over a few weeks,sur quelques semaines,چند ہفتوں کے دوران,Temporal phrase used to describe a process or period that lasts for a short number of seven-day intervals.,سَيَنْتَهِي العَمَلُ عَلَى مَدَى أَسَابِيعَ قَلِيلَةٍ.,The work will finish over a few weeks.,True,True,,verified
231,فِي المَقَامِ الثَّالِثِ عَشَرَ,in the thirteenth place / thirteenthly,en treizième lieu / treizièmement,تیرہویں نمبر پر,Phrase used to introduce the thirteenth item in an ordered list of points or reasons.,وَفِي المَقَامِ الثَّالِثِ عَشَرَ، الأَمْنُ.,"And thirteenthly, security.",True,True,,verified
232,بِمَا لَا يَدَعُ مَجَالاً لِلخَسَارَةِ,foolproof / zero-risk / leaving no room for loss,sans aucun risque de perte / infaillible,جس میں نقصان کی کوئی گنجائش نہ ہو,Phrase used to describe a plan or investment so secure that failure or financial loss is considered impossible.,صَمَّمْنَا الخُطَّةَ بِمَا لَا يَدَعُ مَجَالاً لِلخَسَارَةِ.,We designed the plan leaving no room for loss.,True,True,,verified
233,مِنْ قُبَيْلِ المِصَادَفَةِ,by way of coincidence / coincidentally,par coïncidence / par hasard,محض اتفاقاً / اتفاقیہ طور پر,Phrase used to categorize an event as being unplanned or accidental.,حَدَثَ ذَلِكَ مِنْ قُبَيْلِ المِصَادَفَةِ.,That happened by way of coincidence.,True,True,,verified
234,مِنَ الصَّعْبِ نَقْدُهُ,hard to criticize / beyond reproach,difficile à critiquer / irréprochable,جس پر تنقید کرنا مشکل ہو,"Phrase used to describe a piece of work, an argument, or a person so solid or perfect that finding faults is difficult.",هَذَا المَقَالُ مِنَ الصَّعْبِ نَقْدُهُ.,This article is hard to criticize.,True,True,,verified
235,فِي هَذِهِ الظُّرُوفِ القَاسِيَةِ,in these harsh conditions / in this severe situation,dans ces conditions difficiles / dans ces circonstances rudes,ان سخت حالات میں,Phrase used to describe living or working in environments that are physically or emotionally extremely demanding.,هُمْ يَعِيشُونَ فِي هَذِهِ الظُّرُوفِ القَاسِيَةِ.,They live in these harsh conditions.,True,True,,verified
236,بِدُونِ قَيْدٍ أَوْ شَرْطٍ,unconditionally / without strings attached,sans condition / inconditionnellement,بلا قید و شرط,"Idiomatic phrase used when an agreement, support, or surrender is made without asking for anything in return.",نُحِبُّكَ بِدُونِ قَيْدٍ أَوْ شَرْطٍ.,We love you unconditionally.,True,True,,verified
237,فِي المَدَى المَنْظُورِ البَعِيدِ,in the long-term foreseeable future,dans un avenir prévisible à long terme,طویل مدتی قابلِ پیش گوئی مستقبل میں,Phrase referring to shifts or events that are predicted to happen many years from now based on current trends.,سَنَرَى التَّأْثِيرَ فِي المَدَى المَنْظُورِ البَعِيدِ.,We will see the impact in the long-term foreseeable future.,True,True,,verified
238,عَلَى وَشْكِ الاِنْتِهَاءِ,on the verge of finishing / nearly done,sur le point de se terminer / presque fini,ختم ہونے کے قریب,Phrase used to describe an action or project that is in its very last moments before completion.,العَمَلُ عَلَى وَشْكِ الاِنْتِهَاءِ.,The work is on the verge of finishing.,True,True,,verified
239,بِمَحْضِ تَقْدِيرِ لَجْنَةِ التَّحْكِيمِ,at the sole discretion of the jury / judging panel,à la seule discrétion du jury,منصفین (جیوری) کی اپنی صوابدید پر,Formal phrase indicating that the final decision in a competition or evaluation rests entirely with the appointed judges.,الفَوْزُ بِمَحْضِ تَقْدِيرِ لَجْنَةِ التَّحْكِيمِ.,Winning is at the sole discretion of the jury.,True,True,,verified
240,فِي حَالِ حُدُوثِ خِلافٍ,in the event of a dispute / if a disagreement occurs,en cas de litige / si un désaccord survient,اختلاف ہونے کی صورت میں,Phrase used in contracts or agreements to provide a resolution path if the parties disagree later.,نَلْجَأُ لِلقَضَاءِ فِي حَالِ حُدُوثِ خِلافٍ.,We resort to the judiciary in the event of a dispute.,True,True,,verified
241,عَلَى مَدَى الحَيَاةِ العَمَلِيَّةِ,over the course of professional life,au cours de la vie professionnelle,عملی / پیشہ ورانہ زندگی کے دوران,Temporal phrase describing the span of a person's career or work experience.,تَعَلَّمَ الكَثِيرَ عَلَى مَدَى الحَيَاةِ العَمَلِيَّةِ.,He learned a lot over the course of professional life.,True,True,,verified
242,فِي المَقَامِ الرَّابِعَ عَشَرَ,in the fourteenth place / fourteenthly,en quatorzième lieu / quatorzièmement,چودہویں نمبر پر,Phrase used to introduce the fourteenth item in an ordered list of points or reasons.,وَفِي المَقَامِ الرَّابِعَ عَشَرَ، التَّوْزِيعُ.,"And fourteenthly, the distribution.",True,True,,verified
243,بِمَا لَا يَدَعُ مَجَالاً لِلاحْتِيَالِ,secure / tamper-proof / leaving no room for fraud,sécurisé / inviolable / sans faille contre la fraude,جس میں دھوکہ دہی کی کوئی گنجائش نہ ہو,Phrase used to describe a financial or digital system so secure that it prevents any deceptive manipulation.,صَمَّمْنَا النِّظَامَ بِمَا لَا يَدَعُ مَجَالاً لِلاحْتِيَالِ.,We designed the system leaving no room for fraud.,True,True,,verified
