rank,target,english,pos,ipa_candidate,learner_hint_candidate,source_sha256
892,تحول,transformation; change; changed/transformed,noun / perfect / past verb,tˈaħawwˌal,tahawwal,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
893,سريع,fast; quick,adjective,sˈariːʕ,sarayay‘,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
894,يشهد,witnesses; observes,imperfect / present verb,jʃhd,yshhd,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
895,سر,secret; go!; proceed!; pleased; delighted (depending on vocalization/use),noun / imperative verb / perfect-past verb,sˈirr,sayayrr,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
896,ظروف,circumstances; conditions,noun,ðrˈuːf,dhrohohf,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
897,فاز,won,perfect / past verb,fˈaːz,faz,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
898,ميت,dead,adjective,mˈajjit,mayyayayt,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
899,أثر,effect; trace; impact; affected/influenced,noun / perfect / past verb,ʔˈaθar,ʔathar,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
900,ضوء,light,noun,dˤˈawʔ,dˤawʔ,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
901,عمال,workers,noun,ʕmˈaːl,‘mal,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
902,قدرة,ability; capacity,noun,qˈudra,qohohdra,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
903,يدري,knows; is aware,imperfect / present verb,jdrˈiː,ydrayay,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
904,منع,prevention; prohibition; prevented,noun / perfect / past verb,mˈanʕ,man‘,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
905,رئيسي,main; principal; primary,adjective,rˈaʔiːsˌiːj,raʔayaysayayy,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
906,ميلاد,birth; birthday,noun,mˈiːlaːd,mayaylad,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
907,إنما,only; merely; nothing but,particle,ʔˈinnamˌaː,ʔayaynnama,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
908,مسابقة,competition; contest,noun,musˈaːbaqˌa,mohohsabaqa,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
909,دليل,evidence; guide; proof,noun,dˈaliːl,dalayayl,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
910,سفر,travel; journey,noun,sˈafar,safar,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
911,حمل,load; burden; carrying; pregnancy; carried (depending on vocalization/use),noun / verbal noun / perfect-past verb,ħˈamal,hamal,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
912,تصوير,photography; filming,noun,tˈas̪wiːr,tas̪wayayr,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
913,طيران,aviation; flying,noun,t̪ˈajarˌaːn,t̪ayaran,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
914,محطة,station; stop,noun,mˈaħat̪t̪ˌa,mahat̪t̪a,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
915,أفراد,individuals; persons,noun,ʔfrˈaːd,ʔfrad,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
916,سوء,badness; harm; poor/bad condition,noun,sˈuːʔ,sohohʔ,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
917,احترام,respect,noun,ˈiħtirˌaːm,ayayhtayayram,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
918,حساب,account; calculation,noun,ħˈisaːb,hayaysab,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
919,تطبيق,application; implementation,noun,tˈat̪biːq,tat̪bayayq,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
920,يستحق,deserves; is worth; is entitled to,imperfect / present verb,jstħq,ysthq,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
921,بيئة,environment,noun,bˈiːʔa,bayayʔa,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
922,مقر,headquarters; seat; location,noun,mˈaqarr,maqarr,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
923,فشل,failure; failed,noun / perfect / past verb,fˈaʃal,fashal,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
924,افعل,do!; act!,imperative verb,ˈafʕl,af‘l,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
925,كبار,big; large; major; senior; elders; senior people,plural adjective / substantivized adjective,kbaːr,kbar,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
926,يتعرف,gets to know; becomes acquainted with; recognizes,imperfect / present verb,jtʕrf,yt‘rf,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
927,وفقا,according to; in accordance with (commonly وَفْقًا لِـ),adverbial expression,wfqaː,wfqa,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
928,منافسة,competition; rivalry,noun,munˈaːfasˌa,mohohnafasa,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
929,يسعى,seeks; strives,imperfect / present verb,jsʕˈaː,ys‘a,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
930,يكره,hates; dislikes,imperfect / present verb,jkrh,ykrh,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
931,مواطن,citizen,noun,muwˈa.ːt̪in,mohohwa.t̪ayayn,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
932,أولاد,boys; sons; children,noun,ʔˈuːlaːd,ʔohohlad,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
933,طبيعي,natural; normal,adjective,t̪ˈabiːʕˌiːj,t̪abayay‘ayayy,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
934,خطوة,step,noun,χˈat̪wa,khat̪wa,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
935,مشاريع,projects,noun,mʃˈaːriːʕ,msharayay‘,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
936,شاهد,witness; observer; viewer; spectator; watched; saw; witnessed (depending on use),noun / active participle / perfect-past verb,ʃˈaːhid,shahayayd,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
937,أصل,origin; root; basis; I arrive; I reach (depending on vocalization/use),noun / first-person imperfect verb,ʔˈas̪l,ʔas̪l,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
938,مدارس,schools,noun,mdˈaːrs,mdars,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
939,ثمن,price; value,noun,θˈaman,thaman,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
940,إيجاد,finding; creation; bringing into existence,verbal noun,ʔˈiːdʒaːd,ʔayayyad,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
941,صفقة,deal; transaction,noun,s̪ˈafqa,s̪afqa,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
942,يطلق,launches; releases; fires; calls/names (depending on form),imperfect / present verb,jt̪lq,yt̪lq,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
943,يقبل,accepts; approaches; comes forward; kisses (depending on vocalization/form),imperfect-present verb,jqbl,yqbl,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
944,يجمع,collects; gathers,imperfect / present verb,jdʒmʕ,yym‘,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
945,شديد,severe; strong; intense,adjective,ʃˈadiːd,shadayayd,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
946,أسئلة,questions,noun,ʔsʔlt,ʔsʔlt,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
947,سن,age; tooth; enacted; established; sharpened (depending on vocalization/use),noun / perfect-past verb,sˈinn,sayaynn,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
948,تفكير,thinking; thought,noun,tˈafkiːr,tafkayayr,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
949,أسماء,names,noun,ʔˈasmaːʔ,ʔasmaʔ,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
950,مستشار,advisor; consultant,noun,mˈustaʃˌaːr,mohohstashar,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
951,يقود,leads; drives,imperfect / present verb,jqwd,yqwd,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
952,يتمكن,manages to; is able to,imperfect / present verb,jutmkˈunna,yohohtmkohohnna,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
953,جهود,efforts,noun,dʒhˈuːd,yhohohd,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
954,سبق,precedence; lead; preceded,noun / perfect / past verb,sˈabaq,sabaq,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
955,ضغط,pressure; pressing; pressed,noun / perfect / past verb,dˤˈaɣt̪,dˤaght̪,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
956,إشارة,signal; sign; indication,noun,ʔˈiʃaːrˌa,ʔayayshara,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
957,متابعة,follow-up; monitoring,noun,mutˈaːbaʕˌa,mohohtaba‘a,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
958,أصاب,hit; affected; injured; was right; got it right; hit the target,perfect-past verb,ʔˈas̪aːb,ʔas̪ab,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
959,أخت,sister,noun,ʔˈuχt,ʔohohkht,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
960,حذر,caution; warning; cautious,noun / adjective,ħˈaððar,hadhdhar,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
961,خليج,gulf,noun,χˈaliːdʒ,khalayayy,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
962,أسرة,family; household,noun,ʔˈusra,ʔohohsra,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
963,إصلاح,reform; repair; correction,noun,ʔˈis̪laːħ,ʔayays̪lah,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
964,حارس,guard; goalkeeper,noun,ħˈaːris,harayays,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
965,ناحية,side; direction; aspect; from the standpoint of,noun / adverbial expression,nˈaːħiːˌa,nahayaya,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
966,مرض,illness; disease; fell ill,noun / perfect / past verb,mˈaradˤ,maradˤ,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
967,فصل,class; chapter; season; section; separation; separated; divided; dismissed (depending on vocalization/use),noun / perfect-past verb,fˈas̪l,fas̪l,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
968,تغير,change; alteration; changed,noun / perfect / past verb,tˈaɣajjˌar,taghayyar,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
969,مجنون,crazy; insane,adjective,mˈadʒnuːn,maynohohn,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
970,نصر,victory; support; helped/supported,noun / perfect / past verb,nˈas̪r,nas̪r,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
971,موجود,present; existing; available; found,adjective / participle,mˈawdʒuːd,mawyohohd,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
972,أسوأ,worse; worst,elative adjective / comparative-superlative,ʔˈaswaʔ,ʔaswaʔ,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
973,حلم,dream; forbearance/patience; dreamed,noun / perfect / past verb,ħˈulm,hohohlm,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
974,أندية,clubs,noun,ʔandˈijjah,ʔandayayyyah,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
975,جمهور,audience; public; fans,noun,dʒˈumhuːr,yohohmhohohr,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
976,صيد,hunting; fishing,noun,s̪ˈajd,s̪ayd,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
977,عادة,habit; custom; usually (in adverbial use),noun / adverbial use,ʕˈaːda,‘ada,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
978,مخدرات,drugs; narcotics,noun,mχdrˈaːt,mkhdrat,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
979,اتفق,agreed; came to an agreement,perfect / past verb,ˈitːafˌaq,ayaytafaq,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
980,مسرح,theater; theatre; stage,noun,mˈasraħ,masrah,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
981,تمكن,ability; mastery; managed/was able,noun / perfect / past verb,tˈamakːˌan,tamakan,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
982,ينبغي,should; ought to; it is appropriate/necessary,imperfect / present verb,jmbɣˈiː,ymbghayay,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
983,ألعاب,games,noun,ʔlʕˈaːb,ʔl‘ab,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
984,قوانين,laws,noun,qwaːnˈiːna,qwanayayna,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
985,يزيد,increases; adds,imperfect / present verb,jzˈiːd,yzayayd,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
986,رياضة,sport; exercise,noun,rˈiːaːdˤˌa,rayayadˤa,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
987,مبلغ,amount; sum of money,noun,mˈablaɣ,mablagh,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
988,كتابة,writing,noun,kˈitaːbˌa,kayaytaba,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
989,خوف,fear,noun,χˈawf,khawf,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
990,شمس,sun,noun,ʃˈams,shams,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
991,ساعد,forearm; helped; assisted (depending on vocalization/use),noun / perfect-past verb,sˈaːʕad,sa‘ad,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
992,يقل,decreases; becomes less,imperfect / present verb,jql,yql,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
993,اتخاذ,taking; adoption; making (as in اتخاذ قرار = making a decision),noun,ˈitːiχˌaːð,ayaytayaykhadh,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
994,حفلة,party; celebration,noun,ħˈafla,hafla,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
995,شعور,feeling; sensation,noun,ʃˈuʕuːr,shohoh‘ohohr,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
996,يفضل,prefers; is superior/better (depending on vocalization),imperfect / present verb,jfdˤl,yfdˤl,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
997,استطاع,was able to; could,perfect / past verb,ˈistat̪ˌaːʕ,ayaystat̪a‘,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
998,طبيعة,nature; character,noun,t̪ˈabiːʕˌa,t̪abayay‘a,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
999,مقابلة,interview; meeting; encounter; confrontation,noun / verbal noun,muqˈaːbalˌa,mohohqabala,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
1000,ابتعد,moved away; kept away; move away!,perfect / past verb / imperative verb,ˈibtaʕˌad,ayaybta‘ad,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
